path,kind,metric_key,metric_type,metric_value
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,route_type_counts.direct,int,275
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000007,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000008,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000009,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000011,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000012,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000013,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000014,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000017,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000021,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000022,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000027,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000029,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000036,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000039,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000041,int,1
