scope,feature,beneficial_n,dangerous_n,beneficial_mean,dangerous_mean,difference_dangerous_minus_beneficial,mann_whitney_u_p_value,cliffs_delta_beneficial_minus_dangerous
all_physical_switch_candidates,baseline_trace_sam_score_final,101,96,0.971767771362078,0.9806507217387358,0.008882950376657761,0.8135486981423653,0.01051980198019802
all_physical_switch_candidates,baseline_trace_sam_score_mean,101,96,0.971767771362078,0.9806507217387358,0.008882950376657761,0.8135486981423653,0.01051980198019802
all_physical_switch_candidates,baseline_trace_sam_score_min,101,96,0.971767771362078,0.9806507217387358,0.008882950376657761,0.8135486981423653,0.01051980198019802
all_physical_switch_candidates,baseline_trace_adjacent_dice_mean,101,96,0.38454990366488956,0.4013374202464874,0.016787516581597828,0.822818989253433,-0.018564356435643563
all_physical_switch_candidates,baseline_trace_adjacent_dice_min,101,96,0.10541560300442564,0.10539530623680156,-2.0296767624078393e-05,0.9356870165370895,-0.006703795379537953
all_physical_switch_candidates,baseline_cycle_candidate_count,101,96,0.9900990099009901,0.9895833333333334,-0.0005156765676567199,0.9770258497420949,0.0005156765676567656
all_physical_switch_candidates,baseline_final_candidate_count,101,96,1.0,1.0,0.0,1.0,0.0
all_physical_switch_candidates,baseline_route_mode_patch_correspondence,101,96,0.0,0.0,0.0,1.0,0.0
all_physical_switch_candidates,baseline_trace_candidate_count_final,101,96,1.0,1.0,0.0,1.0,0.0
all_physical_switch_candidates,baseline_trace_candidate_count_max,101,96,1.0,1.0,0.0,1.0,0.0
all_physical_switch_candidates,baseline_trace_empty_count,101,96,0.0,0.0,0.0,1.0,0.0
all_physical_switch_candidates,delta_trace_candidate_count_max,101,96,0.0,0.0,0.0,1.0,0.0
all_physical_switch_candidates,trace_candidate_count_max,101,96,1.0,1.0,0.0,1.0,0.0
qreturn_competitive_physical_switch_candidates,delta_abs_q_return_minus_q_model,37,27,-0.012383889921262855,-0.1423544253154091,-0.12997053539414624,4.930346431424462e-06,0.6736736736736737
qreturn_competitive_physical_switch_candidates,baseline_abs_q_return_minus_q_model,37,27,0.21754197875001127,0.44059177309655506,0.2230497943465438,1.9247797421585185e-05,-0.6276276276276276
qreturn_competitive_physical_switch_candidates,baseline_q_model,37,27,0.7706295022703472,0.5492289452189238,-0.22140055705142336,2.1748853621497197e-05,0.6236236236236237
qreturn_competitive_physical_switch_candidates,baseline_student_disagreement,37,27,0.2293704977296529,0.4507710547810762,0.2214005570514233,2.1748853621497197e-05,-0.6236236236236237
qreturn_competitive_physical_switch_candidates,delta_trace_area_span,37,27,-0.030246219119510136,-0.12916282371238427,-0.09891660459287413,2.6611422734556412e-05,0.6196196196196196
qreturn_competitive_physical_switch_candidates,baseline_q_return_minus_q_model,37,27,0.17242369792714363,0.37883642840807896,0.20641273048093534,3.520129473467364e-05,-0.6076076076076076
qreturn_competitive_physical_switch_candidates,baseline_q_cycle,37,27,0.9430532001974906,0.9280653736270027,-0.014987826570487917,4.204384293445998e-05,0.6016016016016016
qreturn_competitive_physical_switch_candidates,baseline_q_return,37,27,0.9430532001974906,0.9280653736270027,-0.014987826570487917,4.204384293445998e-05,0.6016016016016016
qreturn_competitive_physical_switch_candidates,delta_q_model,37,27,0.014059595202195076,0.08482167920734021,0.07076208400514514,4.807729163038423e-05,-0.5995995995995996
qreturn_competitive_physical_switch_candidates,delta_student_disagreement,37,27,-0.014059595202195088,-0.08482167920734021,-0.07076208400514512,4.807729163038423e-05,0.5995995995995996
