group,experiment,split,metric,value,resolution_or_scope,source,notes
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling/propagation_quality_test_lora_p491_e20,,bridge_4.dice,0.7753727361450183,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling/propagation_quality_test_lora_p491_e20,,bridge_5.dice,0.8213041499346899,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling/propagation_quality_test_lora_p491_e20,,bridge_6.dice,0.7963104934299775,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20,,bridge_0.dice,0.6576086808225825,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20,,bridge_1.dice,0.7862220052165896,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20,,bridge_2.dice,0.7974119851188485,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20,,bridge_3.dice,0.772160524535759,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20,,bridge_4.dice,0.7905800418739111,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20,,bridge_5.dice,0.8336964753138228,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20,,bridge_6.dice,0.8158195237675804,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cls/propagation_quality_test_lora_p491_e20/summary.json,
