path,root,family_or_bridge,dice,kind
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_pooled/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_pooled/eval_lora_p491_e20,bridge_6,0.9026259718990793,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008_lesion_knn/sam3enc_lesion__gt_lesion/eval_base_no_ft_b7_forward/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008_lesion_knn/sam3enc_lesion__gt_lesion/eval_base_no_ft_b7_forward,bridge_4,0.902369791045585,route_or_propagation
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_pyramid_contrast/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_pyramid_contrast/eval_lora_p491_e20,bridge_4,0.9021812603943584,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence__knn_pooled/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence__knn_pooled/eval_lora_p491_e20,bridge_6,0.9021429719107371,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr/eval_lora_p491_e20,bridge_5,0.9018533575861489,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s256/sam3enc_anchor_conditioned_patch_correspondence__knn_cond/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s256/sam3enc_anchor_conditioned_patch_correspondence__knn_cond/eval_lora_p491_e20,bridge_6,0.9011509483944853,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr/eval_lora_p491_e20,bridge_6,0.9008323849564617,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_pooled/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_pooled/eval_lora_p491_e20,bridge_1,0.9005312298797308,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_pooled/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_pooled/eval_lora_p491_e20,bridge_5,0.9002242578700682,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence__knn_pooled/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence__knn_pooled/eval_lora_p491_e20,bridge_1,0.8999913933172137,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb025/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb025/eval_lora_p491_e20,bridge_3,0.8999621723723457,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s256/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s256/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20,bridge_4,0.899724344037759,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_pyramid_contrast/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_pyramid_contrast/eval_lora_p491_e20,bridge_5,0.899599250762525,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_patch_average/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_patch_average/eval_lora_p491_e20,bridge_3,0.8995409946716008,lora_or_lora_eval
