setting,target_id,b0,best_b1_b6,best_bridge,delta_best_vs_b0,b6,delta_b6_vs_b0,b1,b2,b3,b4,b5
base,ISIC_0000113,0.32003137297326534,0.911991199119912,3,0.5919598261466467,0.9096504524367277,0.5896190794634624,0.3190993056023731,0.8690004298199532,0.911991199119912,0.8987981996195072,0.9039589781493972
base,ISIC_0000131,0.002640747045067689,0.9719490615844284,6,0.9693083145393607,0.9719490615844284,0.9693083145393607,0.027710824638064284,0.015202702702702704,0.3235344861909249,0.9707018206103546,0.9692410081310223
base,ISIC_0000143,0.8045886851652123,0.8100325732899023,2,0.005443888124689988,0.8030685506343639,-0.001520134530848427,0.8055691734483773,0.8100325732899023,0.803459686138322,0.8039562454968232,0.8013788575180565
base,ISIC_0000154,0.9697911004115866,0.9708813453752725,4,0.0010902449636859268,0.9687206756334064,-0.0010704247781802012,0.9692822147911968,0.9705356448728912,0.9692247760031165,0.9708813453752725,0.9684128225175919
base,ISIC_0000164,0.5423169680232921,0.5500503018108652,1,0.007733333787573127,0.5377822814128547,-0.004534686610437433,0.5500503018108652,0.5462315654257552,0.5377652326260464,0.5365028748127748,0.5354723021193121
base,ISIC_0000211,0.9157993217167583,0.9178242091747403,1,0.0020248874579820164,0.8773990434098202,-0.03840027830693804,0.9178242091747403,0.8819343945972021,0.8809222041161204,0.8817321030094687,0.8785532841417685
base,ISIC_0000217,0.9505806398665007,0.9486209354608762,1,-0.0019597044056244295,0.9386840102400885,-0.011896629626412136,0.9486209354608762,0.9462519234996702,0.9473221883664114,0.9450053646592753,0.9433920674500944
base,ISIC_0000222,0.9780175045796865,0.9801104656154308,4,0.0020929610357443007,0.9795597708866003,0.0015422663069137865,0.9797799115639444,0.9800449811623476,0.9784047220912119,0.9801104656154308,0.9790233739547362
base,ISIC_0000246,0.9565786469827258,0.9586031417122484,1,0.002024494729522597,0.9301486106865785,-0.026430036296147263,0.9586031417122484,0.9190524048815506,0.9200310335909888,0.9242794192010403,0.9263459783600574
base,ISIC_0000250,0.9476488064747465,0.9676773240529781,6,0.020028517578231653,0.9676773240529781,0.020028517578231653,0.9573793767906493,0.9562434923940372,0.9643036701860231,0.963874213836478,0.9623350740432403
base,ISIC_0000276,0.9766954132089458,0.9795265400032355,1,0.002831126794289651,0.9771075779926788,0.00041216478373296006,0.9795265400032355,0.9667358560860078,0.9747479318646707,0.9770593043320316,0.9761639888388379
base,ISIC_0000292,0.9428945563384673,0.9351462069138843,4,-0.007748349424583023,0.9342712960749028,-0.008623260263564525,0.9344860565790798,0.9325490294869696,0.9256254998286302,0.9351462069138843,0.931480569964535
base,ISIC_0000295,0.9414801668702607,0.9563935496213272,2,0.014913382751066462,0.9559156883310214,0.014435521460760659,0.9409552376557453,0.9563935496213272,0.9548872180451128,0.9553434425489665,0.9562180310507222
base,ISIC_0000301,0.9734465835466788,0.9709448935696804,2,-0.0025016899769984002,0.9631105374413079,-0.010336046105370866,0.9629872379472102,0.9709448935696804,0.9673623652510659,0.9660264777176953,0.9644391318964551
base,ISIC_0000306,0.9359022657553415,0.9450882703346691,4,0.009186004579327611,0.9437909913816467,0.00788872562630516,0.9370893030270386,0.9410304828702455,0.943253194715183,0.9450882703346691,0.9420392199467652
base,ISIC_0000313,0.9121427271072274,0.9303690974832636,6,0.01822637037603614,0.9303690974832636,0.01822637037603614,0.9122615407019077,0.9267959770114943,0.9201243313575249,0.9301392917248541,0.9297560626141778
base,ISIC_0000322,0.9093916255478678,0.942611306189187,3,0.033219680641319194,0.9396349518751179,0.03024332632725013,0.9204656729409205,0.9423009986880505,0.942611306189187,0.9360932692826686,0.9293426267596009
base,ISIC_0000326,0.894656654695832,0.9354518371400199,5,0.040795182444187894,0.9329769952313578,0.0383203405355258,0.8991760624457936,0.8940624829616706,0.9041495569483466,0.9095601677599742,0.9354518371400199
base,ISIC_0000378,0.8905067118152135,0.8922103636451442,2,0.001703651829930708,0.8845115634347414,-0.005995148380472104,0.8896526685223285,0.8922103636451442,0.8868721184178597,0.8890826310181149,0.8839144504732476
base,ISIC_0000386,0.9598262757871878,0.9638610836975422,2,0.004034807910354377,0.9604877587673694,0.0006614829801815381,0.9620528330419167,0.9638610836975422,0.9626031596321623,0.9602119506079387,0.9613280513110734
base,ISIC_0000387,0.9291038858049168,0.9379061937201472,6,0.0088023079152304,0.9379061937201472,0.0088023079152304,0.9284808119251506,0.9342778433687524,0.9336798991808444,0.9374804136634284,0.9364643053483076
base,ISIC_0000391,0.8458306577378222,0.9247861778484548,4,0.07895552011063267,0.9165853975684286,0.07075473983060643,0.8457426704821553,0.9042804621848739,0.9135486112619167,0.9247861778484548,0.9089957246313585
base,ISIC_0000408,0.9546817098213232,0.9643688492475051,2,0.009687139426181934,0.949202017205577,-0.005479692615746212,0.952753671167443,0.9643688492475051,0.9493765497277225,0.9494264055140996,0.9498499887343318
base,ISIC_0000444,0.8437072503419972,0.8612159329140461,5,0.01750868257204885,0.8606873428331936,0.016980092491196364,0.18896756318043156,0.8532048029764925,0.8605196982397317,0.8609038316424918,0.8612159329140461
base,ISIC_0000451,0.27402683672113726,0.28197511039743073,4,0.007948273676293471,0.2807874580186112,0.006760621297473957,0.2777674418604651,0.2774244094174512,0.28028940320582,0.28197511039743073,0.28053455436055796
base,ISIC_0000458,0.9200819672131147,0.9146065922381712,1,-0.005475374974943548,0.9050747469330295,-0.015007220280085276,0.9146065922381712,0.9058323004254464,0.9065648957182552,0.9125108196284706,0.9067541334761363
base,ISIC_0000482,0.9844562872731887,0.9847214753424224,1,0.00026518806923370164,0.9801619687362672,-0.004294318536921526,0.9847214753424224,0.9815169297392287,0.980483067573071,0.9811711542082471,0.980687233508904
base,ISIC_0000515,0.8358976371771725,0.9241176683956618,4,0.08822003121848931,0.9209080656310256,0.08501042845385309,0.9162284545720129,0.9189986882378662,0.9158946810648834,0.9241176683956618,0.9168690317515383
base,ISIC_0000882,0.1762032667876588,0.1777517392896375,5,0.0015484725019787038,0.1772610422996027,0.0010577755119439147,0.1776788720846815,0.17769187970365163,0.17736725954722826,0.1775151391042331,0.1777517392896375
